Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'picasso_weeping_woman.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\picasso_weeping_woman.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as picasso_weeping_woman\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 063, total loss=3520001024.0000, content_loss=1366464843.7500, style loss=2091879500.0000, tv loss=61656548.0000
LBFGS | iteration: 064, total loss=3462952192.0000, content_loss=1358558496.0938, style loss=2042846000.0000, tv loss=61547864.0000
LBFGS | iteration: 065, total loss=3409394944.0000, content_loss=1342108886.7188, style loss=2005846500.0000, tv loss=61439504.0000
LBFGS | iteration: 066, total loss=3355479296.0000, content_loss=1330192773.4375, style loss=1963931125.0000, tv loss=61355236.0000
LBFGS | iteration: 067, total loss=3307526144.0000, content_loss=1319932617.1875, style loss=1926362875.0000, tv loss=61230704.0000
LBFGS | iteration: 068, total loss=3258693120.0000, content_loss=1302296875.0000, style loss=1895252125.0000, tv loss=61144152.0000
LBFGS | iteration: 069, total loss=3212219904.0000, content_loss=1304446093.7500, style loss=1846741125.0000, tv loss=61032672.0000
LBFGS | iteration: 070, total loss=3165977344.0000, content_loss=1284616210.9375, style loss=1820370375.0000, tv loss=60990764.0000
LBFGS | iteration: 071, total loss=3127908864.0000, content_loss=1273469335.9375, style loss=1793545125.0000, tv loss=60894388.0000
LBFGS | iteration: 072, total loss=3081751552.0000, content_loss=1268786132.8125, style loss=1752194000.0000, tv loss=60771300.0000
LBFGS | iteration: 073, total loss=3032770816.0000, content_loss=1250573925.7812, style loss=1721531125.0000, tv loss=60665724.0000
LBFGS | iteration: 074, total loss=2984188416.0000, content_loss=1246932714.8438, style loss=1676691000.0000, tv loss=60564712.0000
LBFGS | iteration: 075, total loss=2945512192.0000, content_loss=1228507519.5312, style loss=1656551125.0000, tv loss=60453720.0000
LBFGS | iteration: 076, total loss=2908113152.0000, content_loss=1228807324.2188, style loss=1618909375.0000, tv loss=60396576.0000
LBFGS | iteration: 077, total loss=2874650112.0000, content_loss=1219493652.3438, style loss=1594887000.0000, tv loss=60269664.0000
LBFGS | iteration: 078, total loss=2835645952.0000, content_loss=1200056347.6562, style loss=1575408500.0000, tv loss=60180904.0000
LBFGS | iteration: 079, total loss=2799785984.0000, content_loss=1208775097.6562, style loss=1530906000.0000, tv loss=60104960.0000
LBFGS | iteration: 080, total loss=2768355328.0000, content_loss=1193037402.3438, style loss=1515275500.0000, tv loss=60042144.0000
LBFGS | iteration: 081, total loss=2732612864.0000, content_loss=1180944921.8750, style loss=1491742500.0000, tv loss=59925608.0000
LBFGS | iteration: 082, total loss=2697830144.0000, content_loss=1174416503.9062, style loss=1463579125.0000, tv loss=59834648.0000
LBFGS | iteration: 083, total loss=2662429952.0000, content_loss=1168941113.2812, style loss=1433760375.0000, tv loss=59728536.0000
LBFGS | iteration: 084, total loss=2626866176.0000, content_loss=1156481542.9688, style loss=1410748625.0000, tv loss=59635844.0000
LBFGS | iteration: 085, total loss=2597585920.0000, content_loss=1154000585.9375, style loss=1384065875.0000, tv loss=59519608.0000
LBFGS | iteration: 086, total loss=2567884288.0000, content_loss=1142325000.0000, style loss=1366090500.0000, tv loss=59468768.0000
LBFGS | iteration: 087, total loss=2539949824.0000, content_loss=1137695996.0938, style loss=1342921625.0000, tv loss=59332364.0000
LBFGS | iteration: 088, total loss=2508576768.0000, content_loss=1130965820.3125, style loss=1318322750.0000, tv loss=59288236.0000
LBFGS | iteration: 089, total loss=2482622976.0000, content_loss=1120855175.7812, style loss=1302550375.0000, tv loss=59217452.0000
LBFGS | iteration: 090, total loss=2450389760.0000, content_loss=1115103515.6250, style loss=1276197375.0000, tv loss=59088816.0000
LBFGS | iteration: 091, total loss=2418891776.0000, content_loss=1103379980.4688, style loss=1256531125.0000, tv loss=58980880.0000
LBFGS | iteration: 092, total loss=2388714496.0000, content_loss=1101695214.8438, style loss=1228144750.0000, tv loss=58874336.0000
LBFGS | iteration: 093, total loss=2360525568.0000, content_loss=1087258984.3750, style loss=1214463875.0000, tv loss=58802776.0000
LBFGS | iteration: 094, total loss=2336934656.0000, content_loss=1087731640.6250, style loss=1190506750.0000, tv loss=58696480.0000
LBFGS | iteration: 095, total loss=2312246784.0000, content_loss=1078897363.2812, style loss=1174710125.0000, tv loss=58639368.0000
LBFGS | iteration: 096, total loss=2291888384.0000, content_loss=1068709863.2812, style loss=1164685000.0000, tv loss=58493380.0000
LBFGS | iteration: 097, total loss=2263768064.0000, content_loss=1065989355.4688, style loss=1139313125.0000, tv loss=58465608.0000
LBFGS | iteration: 098, total loss=2242148864.0000, content_loss=1055853906.2500, style loss=1127903500.0000, tv loss=58391620.0000
LBFGS | iteration: 099, total loss=2218033664.0000, content_loss=1051303027.3438, style loss=1108453750.0000, tv loss=58276856.0000
LBFGS | iteration: 100, total loss=2193021440.0000, content_loss=1042274707.0312, style loss=1092559750.0000, tv loss=58186952.0000
