Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'candy.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\candy.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as candy\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 077, total loss=1504234496.0000, content_loss=844875683.5938, style loss=646843812.5000, tv loss=12514914.0000
LBFGS | iteration: 078, total loss=1496392448.0000, content_loss=846687500.0000, style loss=637180937.5000, tv loss=12523990.0000
LBFGS | iteration: 079, total loss=1489383296.0000, content_loss=844848925.7812, style loss=632009312.5000, tv loss=12525008.0000
LBFGS | iteration: 080, total loss=1483228416.0000, content_loss=842897070.3125, style loss=627800062.5000, tv loss=12531242.0000
LBFGS | iteration: 081, total loss=1474918528.0000, content_loss=840013867.1875, style loss=622351937.5000, tv loss=12552762.0000
LBFGS | iteration: 082, total loss=1467594496.0000, content_loss=844831250.0000, style loss=610200562.5000, tv loss=12562694.0000
LBFGS | iteration: 083, total loss=1461612800.0000, content_loss=836745312.5000, style loss=612272750.0000, tv loss=12594696.0000
LBFGS | iteration: 084, total loss=1457834240.0000, content_loss=837984179.6875, style loss=607288687.5000, tv loss=12561398.0000
LBFGS | iteration: 085, total loss=1452599552.0000, content_loss=838145410.1562, style loss=601825437.5000, tv loss=12628776.0000
LBFGS | iteration: 086, total loss=1447571840.0000, content_loss=835318359.3750, style loss=599638062.5000, tv loss=12615402.0000
LBFGS | iteration: 087, total loss=1440688256.0000, content_loss=834629003.9062, style loss=593438937.5000, tv loss=12620409.0000
LBFGS | iteration: 088, total loss=1434775552.0000, content_loss=828578613.2812, style loss=593569937.5000, tv loss=12626954.0000
LBFGS | iteration: 089, total loss=1429465600.0000, content_loss=833115234.3750, style loss=583706937.5000, tv loss=12643370.0000
LBFGS | iteration: 090, total loss=1425265664.0000, content_loss=830887792.9688, style loss=581737187.5000, tv loss=12640660.0000
LBFGS | iteration: 091, total loss=1419251200.0000, content_loss=828304296.8750, style loss=578274375.0000, tv loss=12672568.0000
LBFGS | iteration: 092, total loss=1414060928.0000, content_loss=830039062.5000, style loss=571385250.0000, tv loss=12636548.0000
LBFGS | iteration: 093, total loss=1408779264.0000, content_loss=828751562.5000, style loss=567339250.0000, tv loss=12688363.0000
LBFGS | iteration: 094, total loss=1404029568.0000, content_loss=826868261.7188, style loss=564469437.5000, tv loss=12691880.0000
LBFGS | iteration: 095, total loss=1398779776.0000, content_loss=822379394.5312, style loss=563698875.0000, tv loss=12701508.0000
LBFGS | iteration: 096, total loss=1393648896.0000, content_loss=826245214.8438, style loss=554686937.5000, tv loss=12716786.0000
LBFGS | iteration: 097, total loss=1388732672.0000, content_loss=822677246.0938, style loss=553335812.5000, tv loss=12719599.0000
LBFGS | iteration: 098, total loss=1383630464.0000, content_loss=822057519.5312, style loss=548861500.0000, tv loss=12711432.0000
LBFGS | iteration: 099, total loss=1378929536.0000, content_loss=821424902.3438, style loss=544762062.5000, tv loss=12742569.0000
LBFGS | iteration: 100, total loss=1374249088.0000, content_loss=819756347.6562, style loss=541770312.5000, tv loss=12722404.0000
LBFGS | iteration: 101, total loss=1370082048.0000, content_loss=818907421.8750, style loss=538415937.5000, tv loss=12758722.0000
LBFGS | iteration: 102, total loss=1366098304.0000, content_loss=819808886.7188, style loss=533544250.0000, tv loss=12745113.0000
LBFGS | iteration: 103, total loss=1363764736.0000, content_loss=814438623.0469, style loss=536528250.0000, tv loss=12797992.0000
LBFGS | iteration: 104, total loss=1359544448.0000, content_loss=816364599.6094, style loss=530404562.5000, tv loss=12775350.0000
LBFGS | iteration: 105, total loss=1356145024.0000, content_loss=817650000.0000, style loss=525728375.0000, tv loss=12766529.0000
LBFGS | iteration: 106, total loss=1352654080.0000, content_loss=814253662.1094, style loss=525616375.0000, tv loss=12784120.0000
LBFGS | iteration: 107, total loss=1349381888.0000, content_loss=817116894.5312, style loss=519453593.7500, tv loss=12811392.0000
LBFGS | iteration: 108, total loss=1345795456.0000, content_loss=811983398.4375, style loss=521018343.7500, tv loss=12793762.0000
LBFGS | iteration: 109, total loss=1342722432.0000, content_loss=813043261.7188, style loss=516878281.2500, tv loss=12800936.0000
LBFGS | iteration: 110, total loss=1339221760.0000, content_loss=811902685.5469, style loss=514500250.0000, tv loss=12818824.0000
LBFGS | iteration: 111, total loss=1335734400.0000, content_loss=812297509.7656, style loss=510619000.0000, tv loss=12817849.0000
LBFGS | iteration: 112, total loss=1332561024.0000, content_loss=810468261.7188, style loss=509260625.0000, tv loss=12832186.0000
LBFGS | iteration: 113, total loss=1329442816.0000, content_loss=810471923.8281, style loss=506144406.2500, tv loss=12826502.0000
LBFGS | iteration: 114, total loss=1326640256.0000, content_loss=808284472.6562, style loss=505501000.0000, tv loss=12854827.0000
LBFGS | iteration: 115, total loss=1323582464.0000, content_loss=810267675.7812, style loss=500478781.2500, tv loss=12836110.0000
LBFGS | iteration: 116, total loss=1320470656.0000, content_loss=808711865.2344, style loss=498910250.0000, tv loss=12848481.0000
LBFGS | iteration: 117, total loss=1317164288.0000, content_loss=806707128.9062, style loss=497587281.2500, tv loss=12869848.0000
LBFGS | iteration: 118, total loss=1314284160.0000, content_loss=804967431.6406, style loss=496450625.0000, tv loss=12866166.0000
LBFGS | iteration: 119, total loss=1311713152.0000, content_loss=806442675.7812, style loss=492391656.2500, tv loss=12878896.0000
LBFGS | iteration: 120, total loss=1309345152.0000, content_loss=805804199.2188, style loss=490667500.0000, tv loss=12873510.0000
LBFGS | iteration: 121, total loss=1306707584.0000, content_loss=804589648.4375, style loss=489228375.0000, tv loss=12889654.0000
LBFGS | iteration: 122, total loss=1304089472.0000, content_loss=804375244.1406, style loss=486842718.7500, tv loss=12871558.0000
LBFGS | iteration: 123, total loss=1301300224.0000, content_loss=802648632.8125, style loss=485759218.7500, tv loss=12892396.0000
LBFGS | iteration: 124, total loss=1298464000.0000, content_loss=803058496.0938, style loss=482509875.0000, tv loss=12895567.0000
LBFGS | iteration: 125, total loss=1295932416.0000, content_loss=799340625.0000, style loss=483689093.7500, tv loss=12902682.0000
LBFGS | iteration: 126, total loss=1293615872.0000, content_loss=802154150.3906, style loss=478556875.0000, tv loss=12904782.0000
LBFGS | iteration: 127, total loss=1291490048.0000, content_loss=800390771.4844, style loss=478188906.2500, tv loss=12910294.0000
LBFGS | iteration: 128, total loss=1288859136.0000, content_loss=800444384.7656, style loss=475504656.2500, tv loss=12910096.0000
LBFGS | iteration: 129, total loss=1286616704.0000, content_loss=798658691.4062, style loss=475031781.2500, tv loss=12926199.0000
LBFGS | iteration: 130, total loss=1284503424.0000, content_loss=798359082.0312, style loss=473242500.0000, tv loss=12901720.0000
LBFGS | iteration: 131, total loss=1282401920.0000, content_loss=799402050.7812, style loss=470066218.7500, tv loss=12933683.0000
LBFGS | iteration: 132, total loss=1280400896.0000, content_loss=796650878.9062, style loss=470821343.7500, tv loss=12928688.0000
LBFGS | iteration: 133, total loss=1278528384.0000, content_loss=796292089.8438, style loss=469311281.2500, tv loss=12925112.0000
LBFGS | iteration: 134, total loss=1276162560.0000, content_loss=795271044.9219, style loss=467956406.2500, tv loss=12935158.0000
LBFGS | iteration: 135, total loss=1273754368.0000, content_loss=797267285.1562, style loss=463554000.0000, tv loss=12933137.0000
LBFGS | iteration: 136, total loss=1271616512.0000, content_loss=794987890.6250, style loss=463687656.2500, tv loss=12940884.0000
LBFGS | iteration: 137, total loss=1269676672.0000, content_loss=794963574.2188, style loss=461772750.0000, tv loss=12940412.0000
LBFGS | iteration: 138, total loss=1267533312.0000, content_loss=794280224.6094, style loss=460303000.0000, tv loss=12949986.0000
LBFGS | iteration: 139, total loss=1265522048.0000, content_loss=794201269.5312, style loss=458366875.0000, tv loss=12953919.0000
LBFGS | iteration: 140, total loss=1263575680.0000, content_loss=793691308.5938, style loss=456934250.0000, tv loss=12950173.0000
LBFGS | iteration: 141, total loss=1262385536.0000, content_loss=790892089.8438, style loss=458510031.2500, tv loss=12983386.0000
LBFGS | iteration: 142, total loss=1260292608.0000, content_loss=792724902.3438, style loss=454621156.2500, tv loss=12946613.0000
LBFGS | iteration: 143, total loss=1258646784.0000, content_loss=792649609.3750, style loss=453038156.2500, tv loss=12958932.0000
LBFGS | iteration: 144, total loss=1256948480.0000, content_loss=790466845.7031, style loss=453511968.7500, tv loss=12969708.0000
LBFGS | iteration: 145, total loss=1255262336.0000, content_loss=791440917.9688, style loss=450840218.7500, tv loss=12981290.0000
LBFGS | iteration: 146, total loss=1253443328.0000, content_loss=788988330.0781, style loss=451484531.2500, tv loss=12970438.0000
LBFGS | iteration: 147, total loss=1251737472.0000, content_loss=790902539.0625, style loss=447859875.0000, tv loss=12975157.0000
LBFGS | iteration: 148, total loss=1250265472.0000, content_loss=789010742.1875, style loss=448283343.7500, tv loss=12971430.0000
LBFGS | iteration: 149, total loss=1248733440.0000, content_loss=788319775.3906, style loss=447439625.0000, tv loss=12974042.0000
LBFGS | iteration: 150, total loss=1247097600.0000, content_loss=788042041.0156, style loss=446081343.7500, tv loss=12974155.0000
LBFGS | iteration: 151, total loss=1245611392.0000, content_loss=787996630.8594, style loss=444633000.0000, tv loss=12981800.0000
LBFGS | iteration: 152, total loss=1244195072.0000, content_loss=788329345.7031, style loss=442894250.0000, tv loss=12971572.0000
LBFGS | iteration: 153, total loss=1243027456.0000, content_loss=787341992.1875, style loss=442689718.7500, tv loss=12995764.0000
LBFGS | iteration: 154, total loss=1241601920.0000, content_loss=787561474.6094, style loss=441057968.7500, tv loss=12982422.0000
LBFGS | iteration: 155, total loss=1240364416.0000, content_loss=786935400.3906, style loss=440450375.0000, tv loss=12978528.0000
LBFGS | iteration: 156, total loss=1238881408.0000, content_loss=785281542.9688, style loss=440614625.0000, tv loss=12985168.0000
LBFGS | iteration: 157, total loss=1237465088.0000, content_loss=785874853.5156, style loss=438608781.2500, tv loss=12981513.0000
LBFGS | iteration: 158, total loss=1236124800.0000, content_loss=785485449.2188, style loss=437655375.0000, tv loss=12983920.0000
LBFGS | iteration: 159, total loss=1234915328.0000, content_loss=784770263.6719, style loss=437165531.2500, tv loss=12979534.0000
LBFGS | iteration: 160, total loss=1233706880.0000, content_loss=784937451.1719, style loss=435787906.2500, tv loss=12981532.0000
LBFGS | iteration: 161, total loss=1232516608.0000, content_loss=783757470.7031, style loss=435778156.2500, tv loss=12980973.0000
LBFGS | iteration: 162, total loss=1231302144.0000, content_loss=784075439.4531, style loss=434251781.2500, tv loss=12974816.0000
LBFGS | iteration: 163, total loss=1230277888.0000, content_loss=783399707.0312, style loss=433885750.0000, tv loss=12992474.0000
LBFGS | iteration: 164, total loss=1229106816.0000, content_loss=781887646.4844, style loss=434246093.7500, tv loss=12973162.0000
LBFGS | iteration: 165, total loss=1228056704.0000, content_loss=782582421.8750, style loss=432495218.7500, tv loss=12979108.0000
LBFGS | iteration: 166, total loss=1226932224.0000, content_loss=782238330.0781, style loss=431712625.0000, tv loss=12981221.0000
LBFGS | iteration: 167, total loss=1225799040.0000, content_loss=782583349.6094, style loss=430233656.2500, tv loss=12982048.0000
LBFGS | iteration: 168, total loss=1224634368.0000, content_loss=781195556.6406, style loss=430461875.0000, tv loss=12976893.0000
LBFGS | iteration: 169, total loss=1223484288.0000, content_loss=781915283.2031, style loss=428591500.0000, tv loss=12977514.0000
LBFGS | iteration: 170, total loss=1222397824.0000, content_loss=780373388.6719, style loss=429048781.2500, tv loss=12975776.0000
LBFGS | iteration: 171, total loss=1221352960.0000, content_loss=780892285.1562, style loss=427488375.0000, tv loss=12972306.0000
LBFGS | iteration: 172, total loss=1220305536.0000, content_loss=779416357.4219, style loss=427916625.0000, tv loss=12972498.0000
LBFGS | iteration: 173, total loss=1219286272.0000, content_loss=780245458.9844, style loss=426073343.7500, tv loss=12967484.0000
LBFGS | iteration: 174, total loss=1218361984.0000, content_loss=778829541.0156, style loss=426564156.2500, tv loss=12968332.0000
LBFGS | iteration: 175, total loss=1217471104.0000, content_loss=779259570.3125, style loss=425256281.2500, tv loss=12955264.0000
LBFGS | iteration: 176, total loss=1216867968.0000, content_loss=779492285.1562, style loss=424404593.7500, tv loss=12971150.0000
LBFGS | iteration: 177, total loss=1215816448.0000, content_loss=778424560.5469, style loss=424432718.7500, tv loss=12959170.0000
LBFGS | iteration: 178, total loss=1215037056.0000, content_loss=778568701.1719, style loss=423513500.0000, tv loss=12954862.0000
LBFGS | iteration: 179, total loss=1214222208.0000, content_loss=777951416.0156, style loss=423315343.7500, tv loss=12955506.0000
LBFGS | iteration: 180, total loss=1213393664.0000, content_loss=777933935.5469, style loss=422500843.7500, tv loss=12958844.0000
LBFGS | iteration: 181, total loss=1212495872.0000, content_loss=777728955.0781, style loss=421813031.2500, tv loss=12953917.0000
LBFGS | iteration: 182, total loss=1211568640.0000, content_loss=777213574.2188, style loss=421405093.7500, tv loss=12950069.0000
LBFGS | iteration: 183, total loss=1210695296.0000, content_loss=776882128.9062, style loss=420864718.7500, tv loss=12948474.0000
LBFGS | iteration: 184, total loss=1209859968.0000, content_loss=776499365.2344, style loss=420416656.2500, tv loss=12943816.0000
LBFGS | iteration: 185, total loss=1209057152.0000, content_loss=776081103.5156, style loss=420034281.2500, tv loss=12941806.0000
LBFGS | iteration: 186, total loss=1208283776.0000, content_loss=776122314.4531, style loss=419224781.2500, tv loss=12936754.0000
