Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'wave_crop.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 30000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\tubingen.png', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\wave_crop.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\tubingen styled as wave_crop\\100000 30000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 117, total loss=9585490944.0000, content_loss=3568474609.3750, style loss=5930672343.7500, tv loss=86344976.0000
LBFGS | iteration: 118, total loss=9523725312.0000, content_loss=3557092578.1250, style loss=5880389531.2500, tv loss=86242880.0000
LBFGS | iteration: 119, total loss=9452765184.0000, content_loss=3556915234.3750, style loss=5809617656.2500, tv loss=86232928.0000
LBFGS | iteration: 120, total loss=9395880960.0000, content_loss=3557470703.1250, style loss=5752286250.0000, tv loss=86123856.0000
LBFGS | iteration: 121, total loss=9348684800.0000, content_loss=3556610156.2500, style loss=5705958281.2500, tv loss=86115952.0000
LBFGS | iteration: 122, total loss=9253621760.0000, content_loss=3553970312.5000, style loss=5613641718.7500, tv loss=86009872.0000
LBFGS | iteration: 123, total loss=9170678784.0000, content_loss=3545030859.3750, style loss=5539743281.2500, tv loss=85904856.0000
LBFGS | iteration: 124, total loss=9104047104.0000, content_loss=3549471484.3750, style loss=5468729531.2500, tv loss=85846104.0000
LBFGS | iteration: 125, total loss=9053028352.0000, content_loss=3543967187.5000, style loss=5423305781.2500, tv loss=85755760.0000
LBFGS | iteration: 126, total loss=8976816128.0000, content_loss=3536038671.8750, style loss=5355091406.2500, tv loss=85686640.0000
LBFGS | iteration: 127, total loss=8913216512.0000, content_loss=3542393359.3750, style loss=5285253750.0000, tv loss=85569536.0000
LBFGS | iteration: 128, total loss=8836625408.0000, content_loss=3541576953.1250, style loss=5209520156.2500, tv loss=85528272.0000
LBFGS | iteration: 129, total loss=8788206592.0000, content_loss=3526716406.2500, style loss=5176092656.2500, tv loss=85397248.0000
LBFGS | iteration: 130, total loss=8734753792.0000, content_loss=3527899609.3750, style loss=5121448593.7500, tv loss=85405808.0000
LBFGS | iteration: 131, total loss=8689045504.0000, content_loss=3528848437.5000, style loss=5074849687.5000, tv loss=85346880.0000
LBFGS | iteration: 132, total loss=8631852032.0000, content_loss=3523762890.6250, style loss=5022824531.2500, tv loss=85264832.0000
LBFGS | iteration: 133, total loss=8537983488.0000, content_loss=3518105078.1250, style loss=4934768437.5000, tv loss=85109704.0000
LBFGS | iteration: 134, total loss=8463608320.0000, content_loss=3514201562.5000, style loss=4864381406.2500, tv loss=85025136.0000
LBFGS | iteration: 135, total loss=8401896448.0000, content_loss=3513913671.8750, style loss=4803024375.0000, tv loss=84958464.0000
LBFGS | iteration: 136, total loss=8363791872.0000, content_loss=3507673828.1250, style loss=4771262343.7500, tv loss=84855200.0000
LBFGS | iteration: 137, total loss=8327794688.0000, content_loss=3510235937.5000, style loss=4732730156.2500, tv loss=84828368.0000
LBFGS | iteration: 138, total loss=8283273728.0000, content_loss=3508778515.6250, style loss=4689734531.2500, tv loss=84760544.0000
LBFGS | iteration: 139, total loss=8233863680.0000, content_loss=3503589843.7500, style loss=4645569843.7500, tv loss=84703696.0000
LBFGS | iteration: 140, total loss=8188898816.0000, content_loss=3502118750.0000, style loss=4602134062.5000, tv loss=84646376.0000
LBFGS | iteration: 141, total loss=8120466944.0000, content_loss=3491870312.5000, style loss=4544068593.7500, tv loss=84527968.0000
LBFGS | iteration: 142, total loss=8074122240.0000, content_loss=3498191015.6250, style loss=4491438281.2500, tv loss=84493328.0000
LBFGS | iteration: 143, total loss=8039591424.0000, content_loss=3497738281.2500, style loss=4457440312.5000, tv loss=84412880.0000
LBFGS | iteration: 144, total loss=7982203392.0000, content_loss=3489043750.0000, style loss=4408858593.7500, tv loss=84301088.0000
LBFGS | iteration: 145, total loss=7943730688.0000, content_loss=3492533593.7500, style loss=4366909218.7500, tv loss=84287768.0000
LBFGS | iteration: 146, total loss=7906549760.0000, content_loss=3492785546.8750, style loss=4329570468.7500, tv loss=84193616.0000
LBFGS | iteration: 147, total loss=7863049728.0000, content_loss=3486789062.5000, style loss=4292118281.2500, tv loss=84142656.0000
LBFGS | iteration: 148, total loss=7809241600.0000, content_loss=3481806250.0000, style loss=4243417968.7500, tv loss=84017672.0000
LBFGS | iteration: 149, total loss=7742444032.0000, content_loss=3477699609.3750, style loss=4180785000.0000, tv loss=83959160.0000
LBFGS | iteration: 150, total loss=7689584128.0000, content_loss=3474805078.1250, style loss=4130895000.0000, tv loss=83883880.0000
LBFGS | iteration: 151, total loss=7637701120.0000, content_loss=3471043359.3750, style loss=4082857500.0000, tv loss=83800760.0000
LBFGS | iteration: 152, total loss=7586037760.0000, content_loss=3471495703.1250, style loss=4030814531.2500, tv loss=83727552.0000
LBFGS | iteration: 153, total loss=7585393152.0000, content_loss=3461617187.5000, style loss=4040209687.5000, tv loss=83565952.0000
LBFGS | iteration: 154, total loss=7560613888.0000, content_loss=3466142968.7500, style loss=4010830781.2500, tv loss=83640240.0000
LBFGS | iteration: 155, total loss=7528349696.0000, content_loss=3463513281.2500, style loss=3981215156.2500, tv loss=83620616.0000
