Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'okeffe_red_canna.png', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/okeffe_red_canna.png', 'dump_path': 'data/output_images/tubingen styled as okeffe_red_canna/100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 167, total loss=1417181056.0000, content_loss=876086523.4375, style loss=522930750.0000, tv loss=18163852.0000
LBFGS | iteration: 168, total loss=1413341312.0000, content_loss=875761425.7812, style loss=519442468.7500, tv loss=18137448.0000
LBFGS | iteration: 169, total loss=1409562624.0000, content_loss=874872167.9688, style loss=516564500.0000, tv loss=18125988.0000
LBFGS | iteration: 170, total loss=1405820288.0000, content_loss=874034082.0312, style loss=513689093.7500, tv loss=18097064.0000
LBFGS | iteration: 171, total loss=1402259968.0000, content_loss=874044042.9688, style loss=510132750.0000, tv loss=18083140.0000
LBFGS | iteration: 172, total loss=1398934528.0000, content_loss=873107128.9062, style loss=507778875.0000, tv loss=18048520.0000
LBFGS | iteration: 173, total loss=1396281856.0000, content_loss=873987792.9688, style loss=504243781.2500, tv loss=18050344.0000
LBFGS | iteration: 174, total loss=1392576256.0000, content_loss=872050000.0000, style loss=502505375.0000, tv loss=18020808.0000
LBFGS | iteration: 175, total loss=1389220096.0000, content_loss=871823144.5312, style loss=499400718.7500, tv loss=17996276.0000
LBFGS | iteration: 176, total loss=1386208768.0000, content_loss=871303808.5938, style loss=496921781.2500, tv loss=17983258.0000
LBFGS | iteration: 177, total loss=1383245056.0000, content_loss=870692773.4375, style loss=494592281.2500, tv loss=17959928.0000
LBFGS | iteration: 178, total loss=1380195840.0000, content_loss=870278515.6250, style loss=491978125.0000, tv loss=17939168.0000
LBFGS | iteration: 179, total loss=1377192192.0000, content_loss=869874511.7188, style loss=489402593.7500, tv loss=17915176.0000
LBFGS | iteration: 180, total loss=1374288768.0000, content_loss=868453417.9688, style loss=487940656.2500, tv loss=17894714.0000
LBFGS | iteration: 181, total loss=1371505152.0000, content_loss=867995214.8438, style loss=485637343.7500, tv loss=17872610.0000
LBFGS | iteration: 182, total loss=1368731648.0000, content_loss=867818066.4062, style loss=483060500.0000, tv loss=17853064.0000
LBFGS | iteration: 183, total loss=1366029696.0000, content_loss=867525976.5625, style loss=480677281.2500, tv loss=17826392.0000
LBFGS | iteration: 184, total loss=1363321088.0000, content_loss=866695507.8125, style loss=478819468.7500, tv loss=17806096.0000
LBFGS | iteration: 185, total loss=1360771456.0000, content_loss=866896093.7500, style loss=476090500.0000, tv loss=17784934.0000
LBFGS | iteration: 186, total loss=1358106752.0000, content_loss=866155175.7812, style loss=474189656.2500, tv loss=17761914.0000
LBFGS | iteration: 187, total loss=1355795712.0000, content_loss=866531542.9688, style loss=471526750.0000, tv loss=17737516.0000
LBFGS | iteration: 188, total loss=1353114752.0000, content_loss=865150878.9062, style loss=470250250.0000, tv loss=17713660.0000
LBFGS | iteration: 189, total loss=1350608256.0000, content_loss=864581542.9688, style loss=468329718.7500, tv loss=17696900.0000
LBFGS | iteration: 190, total loss=1348164608.0000, content_loss=864492675.7812, style loss=466001500.0000, tv loss=17670448.0000
LBFGS | iteration: 191, total loss=1345859200.0000, content_loss=863859277.3438, style loss=464349093.7500, tv loss=17650840.0000
LBFGS | iteration: 192, total loss=1343566848.0000, content_loss=863252539.0625, style loss=462692531.2500, tv loss=17621768.0000
LBFGS | iteration: 193, total loss=1341252608.0000, content_loss=862916406.2500, style loss=460733843.7500, tv loss=17602360.0000
LBFGS | iteration: 194, total loss=1339108352.0000, content_loss=862577832.0312, style loss=458953875.0000, tv loss=17576636.0000
LBFGS | iteration: 195, total loss=1336943744.0000, content_loss=862183593.7500, style loss=457203218.7500, tv loss=17556896.0000
LBFGS | iteration: 196, total loss=1334798464.0000, content_loss=862127246.0938, style loss=455142093.7500, tv loss=17529220.0000
LBFGS | iteration: 197, total loss=1332747648.0000, content_loss=861657031.2500, style loss=453580593.7500, tv loss=17510020.0000
LBFGS | iteration: 198, total loss=1330698240.0000, content_loss=861124121.0938, style loss=452089906.2500, tv loss=17484320.0000
LBFGS | iteration: 199, total loss=1328708736.0000, content_loss=860404394.5312, style loss=450842375.0000, tv loss=17461930.0000
LBFGS | iteration: 200, total loss=1326881536.0000, content_loss=860466601.5625, style loss=448976906.2500, tv loss=17437968.0000
LBFGS | iteration: 201, total loss=1325038080.0000, content_loss=859715722.6562, style loss=447908968.7500, tv loss=17413404.0000
LBFGS | iteration: 202, total loss=1323237120.0000, content_loss=860019531.2500, style loss=445828500.0000, tv loss=17389058.0000
LBFGS | iteration: 203, total loss=1321157760.0000, content_loss=859102832.0312, style loss=444683625.0000, tv loss=17371296.0000
LBFGS | iteration: 204, total loss=1319337344.0000, content_loss=858665429.6875, style loss=443327625.0000, tv loss=17344332.0000
LBFGS | iteration: 205, total loss=1317592832.0000, content_loss=858473144.5312, style loss=441796656.2500, tv loss=17323068.0000
LBFGS | iteration: 206, total loss=1315859712.0000, content_loss=857701464.8438, style loss=440859781.2500, tv loss=17298400.0000
LBFGS | iteration: 207, total loss=1314125568.0000, content_loss=857423925.7812, style loss=439428093.7500, tv loss=17273610.0000
LBFGS | iteration: 208, total loss=1312434304.0000, content_loss=857385058.5938, style loss=437798375.0000, tv loss=17250796.0000
LBFGS | iteration: 209, total loss=1310783488.0000, content_loss=856947265.6250, style loss=436611531.2500, tv loss=17224756.0000
LBFGS | iteration: 210, total loss=1309168896.0000, content_loss=856323925.7812, style loss=435639843.7500, tv loss=17205096.0000
LBFGS | iteration: 211, total loss=1307522816.0000, content_loss=855960839.8438, style loss=434381093.7500, tv loss=17180990.0000
LBFGS | iteration: 212, total loss=1305940736.0000, content_loss=855567480.4688, style loss=433215500.0000, tv loss=17157816.0000
LBFGS | iteration: 213, total loss=1304412928.0000, content_loss=855478417.9688, style loss=431801968.7500, tv loss=17132500.0000
